Label,URL
媒體,https://www.youtube.com/watch?v=vVBp3yJOMBI
心酸,https://www.youtube.com/watch?v=sZMlsvWvVAw
嬰兒,https://www.youtube.com/watch?v=nYGX4WI_CF8
女生,https://www.youtube.com/watch?v=5VDJ0huzs1A
階級,https://www.youtube.com/watch?v=DrvNsS2AtTo
影印,https://www.youtube.com/watch?v=Fs51X887aWw
法官,https://www.youtube.com/watch?v=GHvIqyfZEog
隨意,https://www.youtube.com/watch?v=-Q68cmDBras
吉利,https://www.youtube.com/watch?v=Z9djNI4pzpw
補品,https://www.youtube.com/watch?v=RxbvfQ8aFEk
媽媽,https://www.youtube.com/watch?v=PhKbXrPNgiQ
警衛,https://www.youtube.com/watch?v=MuJMFERNt7Y
積木,https://www.youtube.com/watch?v=VnYp843XXiw
浪漫,https://www.youtube.com/watch?v=O79QCoLZBY8
手語,https://www.youtube.com/watch?v=A3o0cOokgRk
蠟筆,https://www.youtube.com/watch?v=9IRHdNhMnDI
含蓄,https://www.youtube.com/watch?v=Y2peAlLa-LQ
蓮花,https://www.youtube.com/watch?v=myq676d4q1E
拖延,https://www.youtube.com/watch?v=MiGFJDMWDNw
豐富,https://www.youtube.com/watch?v=R_6KVG_GKJg
消失,https://www.youtube.com/watch?v=UT5z7bC3A-0
認知,https://www.youtube.com/watch?v=vRoT5lEMcu0
光顧,https://www.youtube.com/watch?v=C7VP5yhnMww
繁忙,https://www.youtube.com/watch?v=tl5XPhZ-KIM
鬆懈,https://www.youtube.com/watch?v=Ejr-F8mmQbY
不錯,https://www.youtube.com/watch?v=KUPuyKkpXzw
求救,https://www.youtube.com/watch?v=Vov2p2hk0vM
限制,https://www.youtube.com/watch?v=xM1RA6jRYfc
好奇,https://www.youtube.com/watch?v=fTot6aM0Z74
惹禍,https://www.youtube.com/watch?v=4XgiUIkcJ8s
記者,https://www.youtube.com/watch?v=HMWgyFv3btw
佔領,https://www.youtube.com/watch?v=ctgLkHiigG8
概念,https://www.youtube.com/watch?v=o0HrVqT96cQ
延誤,https://www.youtube.com/watch?v=-ZhSjiSLSjU
放心,https://www.youtube.com/watch?v=KZjX79flTvw
離婚,https://www.youtube.com/watch?v=LbocLhJu7tg
對話,https://www.youtube.com/watch?v=zGF1NrQtBCY
欺瞞,https://www.youtube.com/watch?v=jiwohgdsw8g
叮嚀,https://www.youtube.com/watch?v=9ZE4IjRNiQ4
難堪,https://www.youtube.com/watch?v=ofrdJLFWoik
敏感,https://www.youtube.com/watch?v=bgD0jsB4d8U
電台,https://www.youtube.com/watch?v=IgNBzlVr6p0
跟隨,https://www.youtube.com/watch?v=lebBqvPOTKQ
尊敬,https://www.youtube.com/watch?v=Kx8aaTlsh0Q
精巧,https://www.youtube.com/watch?v=DvObxWhCYXw
徵求,https://www.youtube.com/watch?v=FFQARoS5oE0
游泳,https://www.youtube.com/watch?v=xdoLvgSt7Js
深呼吸,https://www.youtube.com/watch?v=tev0vOKHKBw
買賣,https://www.youtube.com/watch?v=uRhCWsGQQcc
